Bullish/Bearish,Recommended buying price,Recommended selling price,Recommended holding period,Stop-loss strategy
Bearish,540 NTD,Not applicable (bearish),3 months,"Triggered when the stock price falls below 450 NTD, or if ROE drops below 15%."
Bearish,560 NTD,Not applicable (bearish),3 months,"Triggered when the stock price falls below 450 NTD, or if ROE drops to less than 15%."
Bearish,550 NTD,Not applicable (bearish),3 months,"Triggering a sell order when the stock price falls below 450 NTD, or if the ROE and ROA continue to decline."
Bearish,550 NTD,Not applicable (bearish),6 months,"Trigger a sell order if the stock price falls below 450 NTD, or if ROE and ROA continue to decline for three consecutive quarters."
Bullish,550 NTD,1100 NTD,6 months,"If the stock price falls below 900 NTD, consider selling to minimize losses."
Bullish,550 NTD,1100 NTD,6 months,"If the stock price falls below 920 NTD, consider selling to minimize losses."
Bearish,550 NTD,,3 months,"If the stock price falls below 450 NTD, trigger a sell order and stop-loss at 10% loss."
Bearish,550 NTD,Not applicable (bearish),6 months,"Trigger a sell order if the stock price falls below 435 NTD, which is the lowest point in the past year."
Bearish,550 NTD,Not applicable (bearish),6 months,"Triggered when the stock price falls below 450 NTD, or if ROE and ROA decline by more than 10% in the next quarter."
Bearish,540 NTD,Not applicable (bearish),6 months,"Triggered when the stock price falls below 440 NTD, or if the ROE and ROA continue to decline."
Bearish,550 NTD,Not applicable (bearish),6 months,"Triggered when the stock price falls below 450 NTD, or when ROE drops below 15%."
Bullish,550 NTD,1100 NTD,6 months,"If the stock price falls below 920 NTD, consider selling to minimize losses."
Bullish,550 NTD,1100 NTD,6 months,"If the stock price falls below 930 NTD, consider selling to minimize losses."
Bearish,550 NTD,Not applicable (bearish),Not applicable (bearish),Below 435 NTD
Bullish,560 NTD,990 NTD,6 months,"If the stock price falls below 920 NTD, consider selling to minimize losses."
Bearish,550 NTD,Not applicable (bearish),Not applicable (bearish),"Triggered when the stock price falls below 440 NTD, or if ROE drops below 15%."
Bullish,650 NTD,1100 NTD,12 months,"If the stock price falls below 900 NTD, consider selling."
Bullish,550 NTD,1020 NTD,12 months,"If the stock price falls below 910 NTD, consider selling to minimize losses."
Bullish,550 NTD,1100 NTD,6 months,"If the stock price falls below 910 NTD, consider selling to minimize losses."
